product_names,prices,product_urls
[맥심/박스기획] 모카골드 마일드 커피믹스 800입(100입x8개),"   19,660",https://www.ssg.com/item/itemView.ssg?itemId=2097000873022&siteNo=6001&salestrNo=2449&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
맥심   모카골드 마일드 커피믹스 (12g*20입),"   21,400",https://www.ssg.com/item/itemView.ssg?itemId=1000544935103&siteNo=6001&salestrNo=2569&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
동서식품 맥심 모카골드 마일드 커피믹스 12g x 50개입 무료배송,"   22,460",https://www.ssg.com/item/itemView.ssg?itemId=1000274408690&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
맥심 모카골드 마일드 커피믹스 스틱 12g 800개,"   23,400",https://www.ssg.com/item/itemView.ssg?itemId=1000517406604&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
동서식품   맥심 모카골드 마일드 커피믹스 250T 1개 선물세트 23호 /선물용/명절선물/설날선물,"   24,700",https://www.ssg.com/item/itemView.ssg?itemId=1000576762743&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
맥심 모카골드 마일드 커피 믹스 210개입,"   24,900",https://www.ssg.com/item/itemView.ssg?itemId=1000519607852&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
맥심 모카골드 마일드 커피 믹스 210개입 x 3개,"   25,400",https://www.ssg.com/item/itemView.ssg?itemId=1000519607856&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
동서 맥심 모카골드 마일드 커피믹스 1kg,"   25,400",https://www.ssg.com/item/itemView.ssg?itemId=1000519040463&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
텐바이텐   맥심 모카골드 마일드 커피믹스 180T,"   26,000",https://www.ssg.com/item/itemView.ssg?itemId=1000548031428&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
맥심 모카골드 마일드 커피믹스 스틱 280T,"   26,010",https://www.ssg.com/item/itemView.ssg?itemId=1000337491789&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
맥심 모카골드 마일드 커피 믹스 12g 400개입 1개,"   26,010",https://www.ssg.com/item/itemView.ssg?itemId=1000530699379&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
맥심 모카골드 마일드 커피믹스 12g 400개입 1개,"   26,650",https://www.ssg.com/item/itemView.ssg?itemId=1000532162059&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
동서 맥심 모카골드 마일드 커피믹스 1kg x 1봉,"   27,200",https://www.ssg.com/item/itemView.ssg?itemId=1000058656747&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
텐바이텐   맥심 모카골드 마일드 커피믹스 400T,"   27,300",https://www.ssg.com/item/itemView.ssg?itemId=1000548031011&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
동서식품   [맥심] 모카골드 마일드 커피믹스 580T (290T X2개) /선물용/대용량커피/선물,"   27,500",https://www.ssg.com/item/itemView.ssg?itemId=1000549988856&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
동서식품   [맥심] 모카골드 마일드 커피믹스 250T+250T /선물용,"   28,050",https://www.ssg.com/item/itemView.ssg?itemId=1000056024817&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
동서식품   맥심 모카골드 마일드 커피믹스 230T 선물세트 1개 /선물용/이나영커피,"   28,300",https://www.ssg.com/item/itemView.ssg?itemId=1000574237240&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
동서식품   [맥심] 모카골드 마일드 커피믹스 290T /선물용/대용량커피,"   31,800",https://www.ssg.com/item/itemView.ssg?itemId=1000067330944&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
동서식품   맥심 모카골드 마일드 커피믹스 400T (180T+20T X2개) /인스턴트믹스커피/이나영커피,"   32,200",https://www.ssg.com/item/itemView.ssg?itemId=1000566422930&siteNo=6004&salestrNo=6005&tlidSrchWd=맥심모카골드믹스MAXIMMOCHAGOLDMILDCOFFEEMIX&srchPgNo=1&src_area=ssglist
