,title,lprice,mall,link
52,KIME 레이어 랩 원피스 (PURPLE)  none,75800,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385375236
53,MIMI MONDE 쉬어 리본 드레스블랙  NONE,184800,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385347764
54,MIMI MONDE 샬롯 드레스블랙  NONE,184800,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385436450
55,AIMSWING+8 풀 집업 원피스(카키)  none,245900,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385325561
56,BONIDEE V&amp;A 랩 원피스 화이트  none,77800,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385410174
57,SPARKLING PIECE 라스트라다 프린트 드레스  NONE,184400,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385474281
58,일리오 ILLIO BLACK 3WAY HOODY TOP-DRESS  NONE,143000,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385150513
59,MIMI MONDE 트리플 리본 드레스(챠콜)  NONE,168700,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385133624
60,LO BEATI 앨리스 원피스  none,193500,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385102291
61,KOOKEESEE 스트라이프 퍼프 썸머 래글런 원피스 (옐로우)  none,154400,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385086615
62,HOLLYSATUNS 셔링 지퍼 원피스 BEIGE  NONE,283200,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385111377
63,YOUNESS 옐로우 티어드 드레스  none,151100,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385172944
64,BIBYSEOB 스티치 롱 원피스 레드 T14  NONE,58000,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385130411
65,DILETTANTISME 리본 미니 원피스  NONE,115000,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385215160
66,일리오 ILLIO WHITE 3WAY HOODY TOP-DRESS  NONE,143000,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385182397
67,BEIRUT 스티치 사틴 미니드레스(화이트)  NONE,177100,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385121460
68,[블랙야크] M애쉬원피스S 2 DI - NONE,104300,SIVILLAGE,https://search.shopping.naver.com/gate.nhn?id=44474316876
69,[블랙야크] M애쉬원피스S 2 AP - NONE,104300,SIVILLAGE,https://search.shopping.naver.com/gate.nhn?id=44474297319
70,오호스 나일론 포켓 메시 캡 그레이  none,103400,쿠팡,https://search.shopping.naver.com/gate.nhn?id=41672675981
71,수지네 구제 블랙 면혼방 긴팔원피스 여자 S none none,6570,G마켓,https://search.shopping.naver.com/gate.nhn?id=45079529386
72,보니데 V&amp;A 기모 랩 원피스 라이트블루 그레이  none,93320,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45397826133
73,비에이블투 체크 세일러 드레스 옐로우  NONE,123750,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45390004996
74,수지네 일본 구제 그레이 면혼방 니트원피스 여자 S none none,6570,G마켓,https://search.shopping.naver.com/gate.nhn?id=42344658744
75,룩캐스트 레드 브이넥 프린팅 롱 드레스 원피스  NONE,162200,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45090600016
76,BALENCIAGA 프린트 사틴 롱 원피스 None B0060310830 (36111641),13353200,리본즈,https://search.shopping.naver.com/gate.nhn?id=44125804552
77,룩캐스트 그린 브이넥 프린팅 롱 드레스 원피스  NONE,162200,쿠팡,https://search.shopping.naver.com/gate.nhn?id=44905559475
78,RE L Lowell belted tweed dress (black)  NONE,334700,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385171324
79,BLUEBRICK Halter dress (charcoal)  none,227400,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385235362
80,OEF Velvet Shirring Mini Dress Winter Gray  NONE,221900,쿠팡,https://search.shopping.naver.com/gate.nhn?id=45385458595
